Unnamed: 0,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,0,3.0,0,0,1,0,0,1
1,1,5.0,1,0,0,0,1,1
2,0,1.0,1,0,1,0,0,0
3,0,0.0,0,0,0,1,0,0
4,1,1.0,0,0,0,1,0,1
5,0,16.0,1,1,1,1,0,1
6,0,7.0,0,0,0,0,0,0
7,1,4.0,1,0,1,0,0,0
8,1,1.0,1,0,1,0,1,3
9,0,5.0,0,1,0,1,1,0
10,0,12.0,1,0,0,1,0,0
11,1,1.0,0,1,1,0,0,0
12,0,0.0,1,0,0,0,0,1
13,0,15.0,1,0,1,1,1,1
14,0,8.0,0,0,0,0,1,1
15,1,7.0,0,0,0,0,0,1
16,0,3.0,0,0,0,0,0,1
17,0,5.0,1,0,0,0,0,1
18,0,1.0,1,1,0,0,0,1
19,0,2.0,1,0,1,0,0,1
20,0,4.0,1,0,0,0,0,1
21,0,3.0,1,0,0,0,1,1
22,0,2.0,0,0,0,0,1,3
23,1,1.0,1,0,0,0,0,1
24,1,4.0,0,0,0,0,1,1
25,1,4.0,1,0,0,0,1,1
26,0,1.0,0,0,0,0,1,3
27,1,1.0,1,0,0,0,0,1
28,1,2.0,0,0,0,1,1,0
29,1,9.0,0,0,0,0,0,0
30,1,1.0,0,1,1,0,0,1
31,1,2.0,1,0,0,0,0,1
32,0,0.0,0,0,0,0,1,0
33,0,1.0,1,0,0,0,0,1
34,0,13.0,0,1,0,0,0,0
35,1,2.0,1,0,0,0,1,0
36,1,1.0,1,1,1,0,1,0
37,0,1.0,1,0,1,0,0,3
38,0,1.0,1,0,0,1,1,0
39,0,1.0,1,0,1,0,0,1
40,0,0.0,0,0,0,0,0,3
41,1,1.0,0,0,1,0,0,0
42,1,2.0,1,1,0,0,0,1
43,0,21.0,0,1,0,1,1,5
44,1,9.0,1,0,1,0,0,1
45,0,9.0,1,0,0,1,1,1
46,1,2.0,0,1,0,0,0,3
47,0,4.0,0,0,0,0,1,3
48,1,2.0,0,1,0,0,1,1
49,0,2.0,0,0,1,0,1,0
50,0,1.0,1,0,1,0,0,1
51,0,1.0,0,0,0,0,0,1
52,1,0.0,1,0,1,0,0,1
53,1,9.0,0,1,0,0,0,0
54,0,1.0,0,0,1,0,0,1
55,0,3.0,0,0,0,0,0,1
56,1,7.0,1,0,1,0,0,0
57,0,1.0,0,1,0,0,1,1
58,1,1.0,0,0,0,1,1,0
59,0,11.0,0,0,0,0,0,0
60,0,10.0,0,0,1,0,0,1
61,0,1.0,0,0,0,0,1,0
62,1,2.0,1,0,0,0,0,1
63,1,1.0,0,1,0,0,1,1
64,1,1.0,0,0,0,0,0,3
65,1,17.0,0,1,0,0,0,1
66,1,1.0,1,0,0,0,0,1
67,0,2.0,0,0,0,0,1,0
68,0,3.0,1,0,0,0,1,3
69,1,2.0,0,0,0,0,0,1
70,0,4.0,1,0,0,1,0,0
71,1,4.0,0,0,0,1,0,0
72,0,3.0,1,0,0,1,0,1
73,1,3.0,1,0,0,0,0,3
74,0,4.0,1,0,1,0,0,0
75,0,0.0,0,1,1,0,1,0
76,1,3.0,0,1,0,1,0,1
77,0,2.0,0,0,0,0,0,1
78,1,2.0,0,0,0,0,0,0
79,1,12.0,0,1,0,0,0,1
80,0,2.0,0,0,0,0,1,0
81,1,9.0,0,0,0,0,1,5
82,1,10.0,0,0,0,0,1,1
83,0,1.0,1,0,0,0,0,1
84,1,1.0,1,0,1,0,0,1
85,1,2.0,0,0,0,0,1,0
86,1,15.0,0,1,0,1,1,0
87,0,5.0,0,0,0,0,1,1
88,0,12.0,1,0,1,0,1,1
89,1,1.0,1,0,1,0,0,1
90,0,10.0,0,0,0,0,1,0
91,1,1.0,1,0,0,0,0,0
92,1,3.0,0,0,0,1,0,1
93,0,1.0,1,0,0,0,0,1
94,0,2.0,0,1,0,0,0,3
95,0,3.0,0,0,0,1,1,0
96,0,15.0,1,0,0,1,1,0
97,1,4.0,0,0,1,0,0,0
98,1,5.0,1,0,0,0,0,1
99,1,3.0,0,0,0,0,0,0
100,1,1.0,1,0,0,0,0,0
101,0,1.0,0,0,0,0,1,5
102,1,0.0,1,0,0,0,0,1
103,1,7.0,1,0,1,0,0,1
104,0,0.0,0,0,1,0,1,0
105,0,4.0,1,0,1,0,0,3
106,0,1.0,1,0,0,0,0,3
107,0,1.0,1,0,0,0,0,0
108,1,1.0,0,0,0,0,0,0
109,0,0.0,1,0,1,1,0,1
110,0,0.0,0,0,0,1,1,0
111,1,1.0,1,0,1,0,0,1
112,0,2.0,1,0,0,0,0,1
113,0,1.0,0,0,0,0,1,3
114,1,3.0,1,0,0,1,0,1
115,0,6.0,0,0,0,0,0,2
116,0,1.0,1,0,0,0,0,1
117,0,0.0,1,0,1,0,0,1
118,1,1.0,1,0,1,0,0,3
119,0,22.0,1,1,0,0,1,1
120,0,1.0,1,0,0,0,0,1
121,0,1.0,0,0,1,0,0,1
122,0,4.0,1,0,0,0,1,1
123,0,2.0,1,0,0,0,0,1
124,0,2.0,0,0,1,0,0,1
125,1,0.0,1,0,0,0,1,1
126,0,3.0,0,1,1,1,0,1
127,0,0.0,0,0,0,0,1,0
128,0,0.0,1,0,1,0,0,1
129,1,0.0,0,0,0,0,0,1
130,1,1.0,1,0,1,0,0,0
131,1,26.0,0,0,0,1,0,1
132,1,4.0,0,0,0,1,0,1
133,0,1.0,0,1,0,0,0,0
134,0,0.0,1,0,1,0,0,0
135,1,0.0,1,0,0,0,0,1
136,0,0.0,1,0,1,0,0,1
137,1,6.0,1,0,1,0,0,0
138,1,4.0,1,0,0,0,0,0
139,1,0.0,0,0,0,0,1,5
140,0,1.0,1,0,1,0,0,3
141,0,0.0,0,0,0,0,0,2
142,1,0.0,0,0,0,0,1,1
143,1,2.0,1,1,1,1,0,1
144,0,0.0,1,0,0,0,0,1
145,0,4.0,1,0,1,0,1,1
146,0,15.0,0,0,0,0,1,1
147,0,3.0,1,0,1,0,1,1
148,1,3.0,1,0,0,0,1,5
149,1,2.0,1,0,0,0,0,0
150,1,8.0,0,0,0,0,0,1
151,0,5.0,1,0,0,0,0,1
152,1,0.0,0,0,0,0,0,1
153,0,3.0,1,1,1,0,0,0
154,1,19.0,0,1,0,0,0,1
155,0,1.0,1,0,0,0,0,1
156,1,0.0,1,0,0,0,0,1
157,0,8.0,1,0,1,1,0,1
158,0,1.0,0,0,0,0,0,1
159,1,2.0,0,0,1,0,0,1
160,0,4.0,1,0,0,0,0,0
161,0,1.0,0,1,0,0,0,0
162,0,1.0,1,0,0,0,0,0
163,1,3.0,1,0,0,0,0,1
164,0,4.0,1,0,1,1,0,3
165,1,1.0,1,0,1,1,0,1
166,1,3.0,0,0,0,1,0,1
167,1,0.0,0,0,0,0,0,1
168,1,3.0,1,0,0,0,0,1
169,0,0.0,0,1,1,0,1,1
170,1,3.0,0,0,0,1,0,0
171,0,1.0,0,0,0,0,0,1
172,0,0.0,0,0,0,0,1,1
173,0,0.0,0,0,1,0,0,1
174,1,2.0,1,1,0,1,0,1
175,0,2.0,0,0,0,0,1,3
176,0,1.0,0,0,0,0,0,0
177,1,1.0,1,0,0,0,0,1
178,0,1.0,1,0,0,0,0,1
179,0,7.0,0,0,0,0,1,0
180,0,3.0,0,0,1,1,0,1
181,1,8.0,1,0,0,0,0,1
182,0,1.0,1,0,0,0,1,0
183,0,6.0,0,0,0,0,1,0
184,1,1.0,1,1,0,0,1,1
185,1,1.0,1,1,0,1,0,1
186,1,5.0,0,1,0,0,0,0
187,0,0.0,1,0,0,1,0,1
188,1,4.0,1,0,0,0,0,1
189,1,4.0,0,0,0,0,0,0
190,1,15.0,0,1,0,1,0,1
191,1,1.0,0,0,0,1,1,1
192,0,2.0,0,0,0,0,0,2
193,1,6.0,1,0,0,0,0,1
194,1,2.0,1,0,1,0,0,1
195,1,1.0,0,1,0,0,1,1
196,1,1.0,0,0,0,0,1,3
197,0,4.0,0,0,0,0,1,0
198,1,1.0,0,1,0,0,1,5
199,1,0.0,0,0,0,0,1,1
200,0,3.0,0,0,0,1,1,0
201,0,0.0,1,0,1,0,0,1
202,0,0.0,0,0,0,0,0,5
203,0,4.0,0,0,0,0,0,3
204,0,15.0,0,0,0,0,1,5
205,1,1.0,0,0,0,0,0,1
206,0,7.0,1,0,1,1,0,1
207,1,3.0,0,1,0,0,1,1
208,0,1.0,0,0,0,0,1,1
209,0,1.0,1,0,0,0,1,1
210,1,3.0,1,0,0,0,0,0
211,1,1.0,0,0,0,0,0,1
212,1,2.0,1,0,0,1,0,1
213,1,1.0,0,0,0,1,1,5
214,0,0.0,0,0,0,0,1,1
215,0,2.0,1,0,1,0,0,1
216,0,5.0,0,0,0,1,0,1
217,1,0.0,0,1,0,1,0,0
218,0,10.0,1,0,0,0,0,1
219,0,5.0,1,0,0,1,0,1
220,0,1.0,1,0,0,0,1,1
221,0,1.0,1,0,1,0,0,1
222,0,2.0,0,1,1,0,0,0
223,0,0.0,1,0,1,0,0,3
224,0,3.0,0,0,0,0,0,0
225,0,2.0,1,0,0,0,0,1
226,1,3.0,1,0,0,0,0,1
227,0,10.0,0,0,0,0,0,0
228,1,0.0,1,0,0,0,0,1
229,1,2.0,1,0,1,0,1,1
230,0,1.0,0,0,0,0,0,1
231,0,2.0,0,0,0,0,0,0
232,0,0.0,0,1,0,0,1,0
233,0,2.0,0,1,0,0,0,0
234,0,0.0,0,0,0,0,0,3
235,0,1.0,0,0,0,0,0,0
236,0,2.0,0,0,0,0,0,0
237,0,4.0,0,1,0,1,0,0
238,0,7.0,0,0,0,1,1,1
239,0,4.0,1,0,0,0,0,0
240,0,3.0,1,0,0,1,1,1
241,0,3.0,0,0,0,0,0,1
242,0,0.0,0,1,0,0,0,5
243,1,1.0,0,1,1,0,0,1
244,0,1.0,1,0,0,0,0,3
245,1,1.0,0,0,0,0,1,1
246,0,2.0,1,0,1,0,0,1
247,0,0.0,0,0,0,0,0,1
248,1,9.0,0,1,0,0,1,1
249,1,0.0,0,0,0,0,0,1
250,0,1.0,0,0,0,0,1,1
251,0,10.0,1,0,0,1,1,0
252,0,2.0,1,0,0,0,1,0
253,1,3.0,1,0,0,0,0,1
254,1,2.0,1,0,0,0,0,1
255,0,2.0,0,0,1,0,1,2
256,0,1.0,0,0,0,0,1,3
257,0,1.0,1,0,1,1,0,1
258,1,29.0,1,0,1,1,1,5
259,0,8.0,0,0,0,0,0,1
260,1,7.0,0,1,0,0,0,0
261,0,6.0,0,0,0,0,1,0
262,0,1.0,0,0,0,0,0,1
263,0,4.0,1,0,1,0,0,1
264,1,0.0,1,0,0,0,0,1
265,0,1.0,1,0,0,0,0,1
266,0,0.0,0,0,0,0,0,1
267,1,0.0,1,0,0,1,0,1
268,0,1.0,0,1,0,0,1,0
269,0,1.0,0,0,0,0,0,1
270,1,1.0,1,0,0,0,1,0
271,0,8.0,1,0,0,0,1,0
272,1,1.0,0,1,1,1,0,0
273,0,0.0,1,0,0,0,1,1
274,1,16.0,0,0,0,0,0,0
275,0,2.0,1,0,1,0,0,1
276,0,1.0,1,0,1,0,0,1
277,0,1.0,1,0,0,0,1,1
278,0,6.0,1,0,0,0,0,1
279,1,1.0,1,0,1,0,1,1
280,1,1.0,0,0,0,0,0,0
281,1,4.0,1,0,1,0,1,3
282,0,5.0,1,1,1,1,0,3
283,1,0.0,0,0,1,0,0,1
284,1,24.0,0,0,0,0,0,1
285,1,18.0,0,0,0,1,1,3
286,1,1.0,1,0,1,1,0,1
287,0,1.0,0,1,0,0,0,0
288,0,1.0,0,0,0,0,1,3
289,0,9.0,1,0,0,1,0,1
290,0,12.0,0,0,0,0,0,1
291,1,4.0,0,0,0,1,1,0
292,1,3.0,1,0,0,0,1,3
293,0,2.0,0,0,1,0,1,1
294,1,8.0,0,0,0,1,0,1
295,0,6.0,0,0,0,0,1,0
296,0,1.0,0,1,0,0,0,0
297,1,8.0,1,1,0,0,1,1
298,0,1.0,1,0,0,0,1,1
299,1,3.0,1,0,1,0,1,1
300,1,2.0,1,0,0,0,0,1
301,1,3.0,1,0,0,1,0,3
302,0,1.0,0,0,0,0,1,1
303,1,2.0,0,1,0,1,1,0
304,1,7.0,0,1,0,0,0,1
305,0,3.0,0,0,0,0,0,1
306,0,2.0,0,0,1,0,0,3
307,1,0.0,0,1,0,0,0,0
308,0,1.0,1,0,0,0,0,1
309,0,2.0,0,0,0,0,0,1
310,0,4.0,1,0,0,0,0,1
311,0,1.0,0,0,1,1,1,1
312,0,1.0,0,0,0,0,1,1
313,0,13.0,0,1,0,0,1,0
314,1,1.0,1,0,1,1,1,0
315,0,1.0,0,0,0,0,1,0
316,0,1.0,0,0,0,0,0,0
317,0,2.0,1,0,0,0,1,0
318,0,2.0,1,0,1,0,0,1
319,1,2.0,1,0,0,0,1,5
320,1,2.0,0,0,0,1,0,0
321,1,5.0,0,1,0,0,1,0
322,1,3.0,0,0,0,1,1,0
323,0,1.0,0,0,0,0,1,5
324,1,0.0,0,0,0,0,0,1
325,1,2.0,0,1,0,0,0,1
326,1,17.0,1,0,0,1,0,1
327,1,2.0,1,0,1,0,1,1
328,1,1.0,0,0,0,1,0,0
329,0,1.0,0,1,1,0,0,1
330,1,0.0,0,0,0,0,0,1
331,1,1.0,1,0,1,0,0,1
332,0,0.0,0,1,0,0,0,1
333,0,16.0,1,0,0,1,0,2
334,0,2.0,1,1,1,0,0,1
335,1,11.0,1,0,0,1,0,0
336,1,0.0,0,0,0,0,0,1
337,0,2.0,0,1,0,0,0,1
338,1,4.0,1,0,0,0,0,3
339,1,1.0,0,0,0,1,0,1
340,1,0.0,0,0,0,0,0,0
341,1,2.0,0,1,0,0,1,0
342,0,3.0,0,1,0,0,1,0
343,1,0.0,0,1,0,0,0,1
344,1,2.0,1,0,0,0,0,1
345,0,1.0,0,0,1,0,1,0
346,0,2.0,0,0,0,0,0,1
347,1,1.0,0,0,0,1,1,1
348,1,2.0,1,0,0,0,0,1
349,1,1.0,1,0,1,1,0,1
350,1,1.0,1,0,0,1,0,0
351,1,1.0,0,1,0,0,0,3
352,0,3.0,0,0,0,1,0,1
353,0,0.0,0,1,0,0,0,0
354,1,8.0,0,0,0,0,0,1
355,1,0.0,1,0,0,1,0,1
356,0,2.0,0,0,0,1,0,1
357,1,2.0,0,1,0,0,1,0
358,1,2.0,0,0,0,0,1,1
