Unnamed: 0,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,1,1.0,0,0,0,0,1,0
1,0,1.0,1,0,1,0,0,1
2,0,1.0,0,0,1,0,1,3
3,0,0.0,0,0,0,1,0,0
4,1,4.0,0,0,0,0,0,1
5,1,1.0,0,0,0,0,0,1
6,1,1.0,1,0,0,0,0,1
7,0,2.0,0,1,0,0,0,0
8,0,3.0,1,1,0,0,0,0
9,1,6.0,0,0,0,0,1,0
10,0,2.0,0,1,0,0,0,0
11,0,1.0,0,0,0,0,1,1
12,0,7.0,0,0,0,0,1,0
13,0,1.0,1,1,0,0,0,0
14,0,19.0,1,0,1,0,0,1
15,0,0.0,0,0,0,0,1,1
16,0,2.0,0,0,0,0,0,5
17,1,2.0,0,1,0,0,0,0
18,1,1.0,0,0,0,0,0,1
19,1,2.0,0,1,0,0,0,1
20,0,9.0,0,1,0,0,0,1
21,0,7.0,1,1,0,0,0,0
22,1,3.0,1,0,0,0,1,0
23,1,3.0,0,0,0,0,0,1
24,1,1.0,0,0,0,0,0,1
25,0,7.0,0,0,0,0,1,0
26,1,13.0,0,0,0,0,0,0
27,0,3.0,1,1,0,1,1,1
28,0,2.0,1,0,1,0,1,1
29,0,2.0,0,0,0,0,1,0
30,0,1.0,0,0,1,0,1,1
31,0,3.0,0,0,0,0,0,1
32,0,0.0,0,0,1,0,0,0
33,0,8.0,1,0,0,0,1,1
34,0,10.0,1,0,1,0,0,1
35,0,0.0,1,0,0,0,0,1
36,0,3.0,0,0,0,1,0,0
37,1,4.0,0,0,0,0,1,1
38,1,3.0,1,1,0,0,1,1
39,1,3.0,0,0,0,0,0,3
40,0,0.0,0,0,0,0,0,0
41,0,3.0,1,0,0,0,0,1
42,0,9.0,0,0,0,1,0,3
43,1,20.0,1,0,0,0,0,1
44,0,1.0,0,0,0,0,1,3
45,1,3.0,1,0,0,0,0,1
46,1,2.0,0,0,0,0,0,1
47,0,1.0,1,0,1,0,0,0
48,1,2.0,1,0,1,1,0,1
49,1,2.0,0,0,0,0,0,1
50,0,8.0,0,0,0,0,1,0
51,0,3.0,0,0,0,0,0,0
52,1,0.0,0,1,0,0,1,1
53,0,13.0,1,0,1,0,0,1
54,1,1.0,1,0,1,0,0,3
55,1,12.0,0,0,0,0,0,0
56,0,12.0,1,0,0,0,1,1
57,1,10.0,1,0,0,0,1,1
58,0,1.0,0,0,0,0,0,0
59,1,18.0,1,0,0,0,0,0
60,0,1.0,1,0,1,0,0,0
61,1,1.0,1,0,1,0,0,1
62,1,2.0,0,0,0,0,1,3
63,0,8.0,1,0,0,0,1,1
64,0,8.0,0,0,0,0,0,1
65,1,3.0,1,0,0,0,0,0
66,0,1.0,1,1,0,0,0,1
67,0,2.0,1,0,0,0,0,1
68,0,3.0,0,1,0,0,0,0
69,0,1.0,0,0,0,0,1,1
70,1,0.0,0,1,0,0,0,0
71,1,0.0,1,0,1,0,0,1
72,1,1.0,1,1,0,1,1,1
73,1,1.0,1,0,0,0,0,1
74,1,17.0,1,0,1,0,0,1
75,1,4.0,0,0,0,0,1,1
76,1,5.0,0,0,0,0,1,3
77,1,5.0,1,0,1,1,0,1
78,0,17.0,0,0,0,0,0,1
79,0,8.0,1,0,1,0,1,1
80,1,5.0,1,0,0,0,0,0
81,0,3.0,0,0,0,0,0,0
82,1,1.0,0,0,0,0,1,0
83,1,2.0,0,0,0,1,0,1
84,0,5.0,1,0,0,1,0,1
85,0,0.0,0,0,1,1,1,3
86,0,1.0,1,0,0,1,1,0
87,0,12.0,1,0,0,0,0,0
88,0,5.0,1,0,0,0,0,1
89,0,1.0,1,1,0,0,0,0
90,0,2.0,0,0,0,0,1,3
91,1,3.0,0,0,0,1,0,0
92,1,1.0,1,0,0,0,1,1
93,0,12.0,1,0,0,0,1,1
94,1,2.0,1,0,1,0,0,1
95,0,2.0,0,0,0,0,0,1
96,1,1.0,0,0,0,0,0,3
97,1,2.0,1,0,1,0,0,1
98,1,12.0,0,1,0,0,0,0
99,1,1.0,0,0,0,0,0,0
100,1,1.0,1,0,1,0,0,1
101,0,12.0,1,0,1,0,1,1
102,1,2.0,1,0,0,1,0,0
103,0,1.0,0,1,0,0,1,0
104,0,0.0,1,0,1,1,0,3
105,1,4.0,1,0,1,0,1,5
106,0,3.0,0,0,1,1,0,3
107,0,1.0,0,0,0,1,0,0
108,1,5.0,1,0,1,0,0,1
109,1,0.0,0,1,0,0,0,0
110,1,0.0,1,0,0,0,0,1
111,1,1.0,1,1,0,1,1,1
112,0,0.0,1,0,0,1,0,1
113,0,1.0,1,0,0,0,0,1
114,0,14.0,0,1,0,0,1,0
115,1,1.0,1,0,0,1,0,1
116,1,13.0,0,1,0,0,1,0
117,0,4.0,0,0,0,0,1,0
118,0,3.0,1,1,0,0,0,0
119,1,1.0,0,0,1,1,1,1
120,1,1.0,1,0,1,0,1,1
121,0,1.0,0,0,0,0,1,1
122,0,1.0,1,1,0,0,1,0
123,0,3.0,0,0,1,1,0,0
124,1,0.0,1,0,0,1,1,1
125,0,0.0,0,0,0,0,0,3
126,1,2.0,0,0,0,0,0,1
127,0,21.0,0,0,0,0,1,1
128,0,2.0,0,0,0,1,1,3
129,0,0.0,1,0,0,1,1,0
130,0,1.0,1,0,0,0,0,1
131,1,5.0,1,0,1,1,1,1
132,1,2.0,1,0,1,1,0,0
133,0,2.0,1,0,1,1,0,1
134,1,4.0,0,0,0,0,1,1
135,1,2.0,0,0,0,0,1,1
136,0,0.0,0,0,0,0,0,1
137,1,1.0,1,0,0,0,0,1
138,1,23.0,1,0,0,0,0,0
139,0,0.0,0,0,0,0,0,3
140,0,4.0,0,1,0,1,1,2
141,0,0.0,1,0,1,1,0,1
142,1,0.0,1,0,0,0,1,1
143,1,3.0,1,1,0,0,0,1
144,0,0.0,0,1,0,0,1,0
145,1,4.0,1,0,0,1,0,0
146,0,3.0,1,0,0,0,0,1
147,0,1.0,0,1,0,1,1,0
148,1,5.0,0,0,0,0,0,1
149,0,0.0,0,1,0,0,0,0
150,0,5.0,1,0,0,0,1,1
151,0,2.0,1,1,0,0,0,1
152,1,7.0,1,0,0,0,0,1
153,0,5.0,1,0,0,0,0,1
154,1,3.0,0,0,0,1,0,1
155,1,2.0,0,1,0,0,0,1
156,1,18.0,0,1,0,0,0,0
157,1,1.0,1,0,0,1,0,0
158,1,1.0,0,0,0,0,0,3
159,0,6.0,1,0,1,0,1,1
160,0,1.0,1,0,1,0,1,1
161,0,1.0,0,0,1,0,0,1
162,0,22.0,1,0,0,0,1,1
163,1,8.0,0,1,0,0,1,0
164,1,1.0,0,1,0,0,1,1
165,1,4.0,0,1,0,0,1,0
166,1,7.0,0,0,0,0,1,1
167,0,0.0,0,0,0,0,1,0
168,0,1.0,1,0,0,0,0,1
169,1,0.0,1,0,0,0,1,1
170,0,3.0,1,0,0,1,1,1
171,1,2.0,1,0,0,0,1,1
172,1,0.0,0,0,1,0,0,1
173,1,20.0,0,0,0,0,0,1
174,0,2.0,1,1,0,0,1,1
175,1,12.0,0,0,1,0,0,1
176,0,8.0,1,0,0,0,0,0
177,0,2.0,0,1,0,1,1,0
178,0,8.0,1,0,1,1,0,1
179,1,3.0,0,0,0,0,1,1
180,0,10.0,1,0,1,0,0,1
181,0,1.0,1,0,0,0,0,0
182,0,1.0,1,0,0,0,0,1
183,0,9.0,1,0,1,0,0,1
184,0,1.0,0,1,0,0,0,3
185,1,1.0,1,0,0,0,0,3
186,1,19.0,0,0,0,0,1,0
187,1,9.0,1,0,1,1,0,1
188,0,22.0,1,0,0,1,1,1
189,0,0.0,0,0,0,1,0,0
190,1,1.0,1,0,1,0,0,1
191,1,2.0,0,0,0,0,1,1
192,0,2.0,0,0,0,0,1,0
193,0,8.0,0,1,0,0,1,3
194,1,2.0,0,0,0,0,0,0
195,0,4.0,1,0,1,0,0,1
196,0,1.0,1,0,0,0,0,5
197,1,1.0,0,0,0,0,0,0
198,1,3.0,0,0,0,0,1,0
199,0,4.0,1,0,0,0,0,1
200,1,4.0,0,0,0,0,1,3
201,0,0.0,1,0,1,0,0,1
202,0,0.0,1,0,1,0,1,1
203,1,3.0,1,0,1,0,0,0
204,1,8.0,0,0,0,0,0,3
205,0,3.0,1,0,1,0,0,0
206,0,1.0,1,0,0,0,0,1
207,0,2.0,0,0,0,0,0,0
208,1,1.0,1,0,1,0,0,1
209,0,1.0,0,1,0,0,1,0
210,0,3.0,0,1,0,0,1,0
211,1,1.0,1,0,0,0,0,1
212,1,3.0,0,0,1,0,0,1
213,0,1.0,0,0,0,0,1,3
214,0,2.0,1,0,0,0,0,1
215,0,2.0,1,0,0,0,1,1
216,0,1.0,1,0,0,1,0,1
217,1,4.0,1,0,1,0,0,1
218,0,1.0,1,0,0,1,0,0
219,0,10.0,0,1,0,0,1,3
220,0,4.0,1,0,0,1,0,1
221,0,1.0,0,1,0,0,0,0
222,0,2.0,0,0,1,0,1,3
223,0,0.0,0,1,0,0,1,1
224,0,7.0,0,0,0,1,1,0
225,1,7.0,0,1,0,0,0,0
226,1,3.0,1,0,1,0,1,1
227,1,1.0,1,0,1,0,0,3
228,0,0.0,1,1,0,0,0,5
229,0,2.0,1,0,1,0,0,1
230,1,5.0,0,0,0,0,0,1
231,1,3.0,0,0,0,1,0,5
232,1,0.0,1,0,1,0,0,3
233,1,2.0,0,0,1,0,1,1
234,1,2.0,0,0,0,0,1,5
235,0,1.0,0,0,0,0,1,3
236,1,1.0,0,0,0,0,1,5
237,0,0.0,1,0,0,0,0,1
238,0,2.0,0,0,0,0,1,3
239,0,1.0,1,0,1,0,0,0
240,0,3.0,0,1,0,0,1,2
241,1,5.0,1,0,0,0,0,0
242,0,0.0,1,0,0,0,0,1
243,1,17.0,0,0,0,0,0,0
244,0,1.0,0,0,0,0,0,3
245,1,1.0,1,0,1,0,0,1
246,1,2.0,1,0,0,1,0,1
247,1,0.0,1,0,0,0,0,1
248,0,2.0,0,0,1,1,0,3
249,1,0.0,1,0,0,0,1,1
250,0,5.0,1,0,0,0,0,3
251,0,1.0,1,1,0,0,0,1
252,1,2.0,0,0,0,0,0,0
253,1,3.0,1,0,0,0,0,1
254,0,2.0,0,1,0,0,1,0
255,0,0.0,0,0,0,0,0,1
256,0,1.0,0,0,0,0,0,0
257,1,3.0,0,0,0,0,1,1
258,0,10.0,1,1,0,0,0,1
259,1,5.0,1,0,1,0,0,1
260,0,2.0,0,0,1,0,1,0
261,1,1.0,1,0,0,0,0,1
262,1,4.0,0,0,1,0,0,1
263,0,18.0,0,1,0,1,1,0
264,1,9.0,1,0,1,1,0,1
265,0,5.0,0,0,0,1,0,0
266,0,0.0,0,0,0,0,1,0
267,0,0.0,0,0,0,0,0,0
268,0,4.0,1,0,1,0,1,0
269,0,1.0,1,0,1,0,0,0
270,0,1.0,0,1,0,0,0,0
271,1,2.0,1,1,0,0,0,1
272,0,5.0,0,0,0,0,0,0
273,0,0.0,0,1,0,0,0,0
274,0,4.0,1,0,1,0,0,1
275,0,17.0,0,1,0,0,0,0
276,0,1.0,1,1,0,0,0,1
277,1,4.0,1,1,0,0,0,1
278,1,10.0,1,0,0,0,1,1
279,1,2.0,0,1,0,0,0,0
280,1,3.0,1,0,1,0,0,0
281,0,0.0,1,1,0,1,0,0
282,1,0.0,0,0,0,0,0,1
283,0,0.0,0,0,0,0,0,0
284,0,11.0,0,0,0,0,0,1
285,1,5.0,1,0,1,0,0,1
286,0,1.0,1,1,0,1,0,3
287,1,2.0,0,0,0,0,0,0
288,1,2.0,0,0,1,0,0,5
289,0,0.0,1,0,1,0,0,1
290,0,3.0,1,0,0,0,0,1
291,1,1.0,1,0,1,0,0,5
292,0,1.0,0,1,0,0,1,0
293,1,7.0,0,0,0,0,0,1
294,1,2.0,1,0,0,0,0,1
295,0,10.0,0,0,0,0,1,0
296,0,3.0,0,0,0,0,1,5
297,0,8.0,0,1,0,0,0,0
298,1,1.0,0,1,0,0,0,0
299,1,1.0,0,1,0,1,1,3
300,1,5.0,0,1,0,1,0,5
301,1,3.0,1,0,1,0,0,1
302,0,1.0,0,0,0,0,0,1
303,0,1.0,1,0,0,0,0,1
304,1,2.0,0,0,0,0,0,0
305,0,1.0,1,0,0,0,0,5
306,0,0.0,0,0,1,0,0,1
307,1,0.0,0,0,0,0,0,0
308,0,14.0,1,0,0,0,0,1
309,1,0.0,0,0,0,0,1,0
310,0,2.0,1,0,0,0,1,1
311,0,9.0,1,0,0,0,1,1
312,0,1.0,1,0,1,0,0,0
313,1,1.0,0,0,0,0,1,1
314,1,1.0,0,0,0,0,1,0
315,1,19.0,1,0,1,0,1,1
316,0,10.0,0,0,0,0,1,1
317,0,22.0,0,0,0,0,0,1
